game_id,date,month,day,year,home_id,home_name,home_score,away_id,away_name,away_score,venue_full_name,is_postseason,season,home_win_pct,home_point_diff,home_recent_win_pct,home_recent_point_diff,away_win_pct,away_point_diff,away_recent_win_pct,away_recent_point_diff,home_playoff_wins,away_playoff_wins,playoff_wins,home_win_badness,away_win_badness,home_point_diff_badness,away_point_diff_badness,home_badness,away_badness,team_badness,total_points,scoring_mean,scoring_std,ideal_scoring,scoring_badness,actual_margin,team_quality,competitiveness,uncompetitiveness,scoring_entertainment,team_quality_weight,competitiveness_weight,scoring_weight,actual_watchability,uncompetitiveness_weight,team_weight,actual_slop,slop_percentile,watchability_percentile
608571,2021-09-11 13:30:00+00:00,9,11,2021,598,1. FC Union Berlin,0,3841,FC Augsburg,0,Stadion An der Alten Försterei,0,2021-2022,,,,,,,,,0,0,0,,,,,,,,0,,,,,0,,,,,,,,,,,,,
608572,2021-09-11 13:30:00+00:00,9,11,2021,131,Bayer Leverkusen,3,124,Borussia Dortmund,4,BayArena,0,2021-2022,,,,,,,,,0,0,0,,,,,,,,7,,,,,1,,,,,,,,,,,,,
608570,2021-09-11 13:30:00+00:00,9,11,2021,126,SC Freiburg,1,122,FC Cologne,1,Dreisamstadion,0,2021-2022,,,,,,,,,0,0,0,,,,,,,,2,,,,,0,,,,,,,,,,,,,
608566,2021-09-11 13:30:00+00:00,9,11,2021,3070,SpVgg Greuther Fürth,0,138,VfL Wolfsburg,2,Sportpark Ronhof | Thomas Sommer,0,2021-2022,,,,,,,,,0,0,0,,,,,,,,2,,,,,2,,,,,,,,,,,,,
608569,2021-09-11 13:30:00+00:00,9,11,2021,7911,TSG Hoffenheim,0,2950,Mainz,2,PreZero Arena,0,2021-2022,,,,,,,,,0,0,0,,,,,,,,2,,,,,2,,,,,,,,,,,,,
608567,2021-09-11 16:30:00+00:00,9,11,2021,11420,RB Leipzig,1,132,Bayern Munich,4,Red Bull Arena,0,2021-2022,,,,,,,,,0,0,0,,,,,,,,5,,,,,3,,,,,,,,,,,,,
608574,2021-09-12 13:30:00+00:00,9,12,2021,125,Eintracht Frankfurt,1,134,VfB Stuttgart,1,Deutsche Bank Park,0,2021-2022,,,,,,,,,0,0,0,,,,,,,,2,,,,,0,,,,,,,,,,,,,
608568,2021-09-12 15:30:00+00:00,9,12,2021,121,VfL Bochum,1,129,Hertha Berlin,3,Vonovia Ruhrstadion,0,2021-2022,,,,,,,,,0,0,0,,,,,,,,4,,,,,2,,,,,,,,,,,,,
608573,2021-09-12 17:30:00+00:00,9,12,2021,268,Borussia Mönchengladbach,3,2506,Arminia Bielefeld,1,BORUSSIA-PARK,0,2021-2022,,,,,,,,,0,0,0,,,,,,,,4,,,,,2,,,,,,,,,,,,,
608579,2021-09-17 18:30:00+00:00,9,17,2021,129,Hertha Berlin,2,3070,SpVgg Greuther Fürth,1,Olympiastadion Berlin,0,2021-2022,1.0,2.0,1.0,2.0,0.0,-2.0,0.0,-2.0,0,0,0,0.0,1.0,0.16666666666666663,0.8333333333333334,,,,3,,,,,1,,,,,,,,,,,,,
608575,2021-09-18 13:30:00+00:00,9,18,2021,3841,FC Augsburg,1,268,Borussia Mönchengladbach,0,WWK Arena,0,2021-2022,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0,0,0,1.0,0.0,0.5,0.16666666666666663,,,,1,,,,,1,,,,,,,,,,,,,
608580,2021-09-18 13:30:00+00:00,9,18,2021,2950,Mainz,0,126,SC Freiburg,0,MEWA ARENA,0,2021-2022,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.16666666666666663,0.5,,,,0,,,,,0,,,,,,,,,,,,,
608582,2021-09-18 13:30:00+00:00,9,18,2021,132,Bayern Munich,7,121,VfL Bochum,0,Allianz Arena,0,2021-2022,1.0,3.0,1.0,3.0,0.0,-2.0,0.0,-2.0,0,0,0,0.0,1.0,0.0,0.8333333333333334,,,,7,,,,,7,,,,,,,,,,,,,
608576,2021-09-18 13:30:00+00:00,9,18,2021,2506,Arminia Bielefeld,0,7911,TSG Hoffenheim,0,SchücoArena,0,2021-2022,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0,0,0,1.0,1.0,0.8333333333333334,0.8333333333333334,,,,0,,,,,0,,,,,,,,,,,,,
608581,2021-09-18 16:30:00+00:00,9,18,2021,122,FC Cologne,1,11420,RB Leipzig,1,RheinEnergieStadion,0,2021-2022,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0,0,0,1.0,1.0,0.5,1.0,,,,2,,,,,0,,,,,,,,,,,,,
608577,2021-09-19 13:30:00+00:00,9,19,2021,134,VfB Stuttgart,1,131,Bayer Leverkusen,3,MHPArena,0,2021-2022,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0,0,0,1.0,1.0,0.5,0.6666666666666667,,,,4,,,,,2,,,,,,,,,,,,,
608583,2021-09-19 15:30:00+00:00,9,19,2021,124,Borussia Dortmund,4,598,1. FC Union Berlin,2,SIGNAL IDUNA PARK,0,2021-2022,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.33333333333333337,0.5,,,,6,,,,,2,,,,,,,,,,,,,
608578,2021-09-19 17:30:00+00:00,9,19,2021,138,VfL Wolfsburg,1,125,Eintracht Frankfurt,1,Volkswagen Arena,0,2021-2022,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.16666666666666663,0.5,,,,2,,,,,0,,,,,,,,,,,,,
608584,2021-09-24 18:30:00+00:00,9,24,2021,3070,SpVgg Greuther Fürth,1,132,Bayern Munich,3,Sportpark Ronhof | Thomas Sommer,0,2021-2022,0.0,-1.5,0.0,-1.5,1.0,5.0,1.0,5.0,0,0,0,1.0,0.0,0.75,0.0,,,,4,,,,,2,,,,,,,,,,,,,
608585,2021-09-25 13:30:00+00:00,9,25,2021,11420,RB Leipzig,6,129,Hertha Berlin,0,Red Bull Arena,0,2021-2022,0.0,-1.5,0.0,-1.5,1.0,1.5,1.0,1.5,0,0,0,1.0,0.0,0.75,0.25,,,,6,,,,,6,,,,,,,,,,,,,
608588,2021-09-25 13:30:00+00:00,9,25,2021,131,Bayer Leverkusen,1,2950,Mainz,0,BayArena,0,2021-2022,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0,0,0,0.5,0.5,0.41666666666666663,0.33333333333333337,,,,1,,,,,1,,,,,,,,,,,,,
608586,2021-09-25 13:30:00+00:00,9,25,2021,125,Eintracht Frankfurt,1,122,FC Cologne,1,Deutsche Bank Park,0,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.5,0.5,,,,2,,,,,0,,,,,,,,,,,,,
608589,2021-09-25 13:30:00+00:00,9,25,2021,598,1. FC Union Berlin,1,2506,Arminia Bielefeld,0,Stadion An der Alten Försterei,0,2021-2022,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0,0,0,1.0,1.0,0.6666666666666667,0.6666666666666667,,,,1,,,,,1,,,,,,,,,,,,,
608591,2021-09-25 13:30:00+00:00,9,25,2021,7911,TSG Hoffenheim,3,138,VfL Wolfsburg,1,PreZero Arena,0,2021-2022,0.0,-1.0,0.0,-1.0,0.5,1.0,0.5,1.0,0,0,0,1.0,0.5,0.6666666666666667,0.33333333333333337,,,,4,,,,,2,,,,,,,,,,,,,
608587,2021-09-25 16:30:00+00:00,9,25,2021,268,Borussia Mönchengladbach,1,124,Borussia Dortmund,0,BORUSSIA-PARK,0,2021-2022,0.5,0.5,0.5,0.5,1.0,1.5,1.0,1.5,0,0,0,0.5,0.0,0.41666666666666663,0.25,,,,1,,,,,1,,,,,,,,,,,,,
608592,2021-09-26 13:30:00+00:00,9,26,2021,121,VfL Bochum,0,134,VfB Stuttgart,0,Vonovia Ruhrstadion,0,2021-2022,0.0,-4.5,0.0,-4.5,0.0,-1.0,0.0,-1.0,0,0,0,1.0,1.0,1.0,0.6666666666666667,,,,0,,,,,0,,,,,,,,,,,,,
608590,2021-09-26 15:30:00+00:00,9,26,2021,126,SC Freiburg,3,3841,FC Augsburg,0,Dreisamstadion,0,2021-2022,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0,0,0,1.0,0.5,0.5,0.41666666666666663,,,,3,,,,,3,,,,,,,,,,,,,
608600,2021-10-01 18:30:00+00:00,10,1,2021,122,FC Cologne,3,3070,SpVgg Greuther Fürth,1,RheinEnergieStadion,0,2021-2022,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,0.0,-1.6666666666666667,0,0,0,1.0,1.0,0.5,0.7777777777777778,,,,4,,,,,2,,,,,,,,,,,,,
608598,2021-10-02 13:30:00+00:00,10,2,2021,124,Borussia Dortmund,2,3841,FC Augsburg,1,SIGNAL IDUNA PARK,0,2021-2022,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,-0.6666666666666666,0.3333333333333333,-0.6666666666666666,0,0,0,0.33333333333333337,0.6666666666666667,0.38888888888888895,0.6111111111111112,,,,3,,,,,1,,,,,,,,,,,,,
608595,2021-10-02 13:30:00+00:00,10,2,2021,129,Hertha Berlin,1,126,SC Freiburg,2,Olympiastadion Berlin,0,2021-2022,0.6666666666666666,-1.0,0.6666666666666666,-1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0,0,0,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.33333333333333337,,,,3,,,,,1,,0.6896551724137931,0.31034482758620685,0.5172413793103449,,,,,,,,,
